character,c1,percentage1,c2,percentage2,c3,percentage3,c4,percentage4,c5,percentage5
班尼特,雷电将军,69.70,香菱,68.50,行秋,43.30,万叶,30.60,达达利亚,15.40
雷电将军,班尼特,75.60,香菱,54.80,行秋,45.80,万叶,19.30,九条,19.20
行秋,胡桃,47.80,班尼特,44.10,雷电将军,43.10,钟离,41.70,香菱,38.20
枫原万叶,班尼特,56.40,雷电将军,32.90,香菱,32.30,神里绫华,28.20,达达利亚,19.00
钟离,行秋,54.60,胡桃,52.60,雷电将军,19.30,神里绫华,15.10,甘雨,14.60
神里凝华,迪奥娜,44.50,莫娜,42.80,温迪,35.80,万叶,27.20,甘雨,23.20
香菱,班尼特,94.70,雷电将军,69.90,行秋,51.80,万叶,24.20,达达利亚,20.30
胡桃,行秋,91.00,钟离,76.50,阿贝多,12.10,神里绫华,12.00,砂糖,11.10
甘雨,温迪,47.60,神里绫华,42.80,钟离,35.90,莫娜,34.50,迪奥娜,21.20
温迪,神里绫华,49.90,莫娜,39.70,甘雨,36.00,迪奥娜,34.80,钟离,26.30
心海,甘雨,71.10,万叶,36.20,甘雨,33.10,温迪,30.40,罗莎莉亚,23.80
莫娜,神里绫华,64.80,迪奥娜,58.00,温迪,43.10,甘雨,28.30,万叶,22.80
阿贝多,钟离,95.40,行秋,60.90,胡桃,59.40,魈,15.40,雷电将军,8.60
迪奥娜,神里绫华,66.30,莫娜,57.10,温迪,37.20,万叶,26.00,甘雨,17.10
达达利亚,班尼特,87.70,香菱,83.40,万叶,58.70,雷电将军,22.10,钟离,8.70
优菈,雷电将军,68.20,钟离,54.50,班尼特,26.80,迪奥娜,23.80,神里绫华,20.70
魈,钟离,79.20,班尼特,29.50,琴,27.70,砂糖,25.60,温迪,21.50
宵宫,行秋,67.40,钟离,56.10,班尼特,39.70,胡桃,26.10,雷电将军,17.90
九条裟罗,雷电将军,96.70,班尼特,71.50,万叶,45.60,钟离,14.30,香菱,11.80
砂糖,行秋,41.90,钟离,33.40,胡桃,32.10,班尼特,27.90,神里绫华,22.80
琴,雷电将军,45.50,钟离,32.80,魈,30.40,九条,22.20,行秋,20.50
罗莎莉亚,神里绫华,51.10,心海,45.20,万叶,34.00,优菈,29.50,钟离,29.50
菲谢尔,钟离,42.30,行秋,32.30,北斗,27.90,优菈,22.00,万叶,18.10
凝光,钟离,96.30,行秋,62.10,胡桃,60.70,魈,12.00,班尼特,7.20
可莉,班尼特,48.80,钟离,46.10,行秋,43.00,万叶,32.00,香菱,23.20
北斗,行秋,46.10,菲谢尔,42.20,心海,25.00,雷电将军,21.80,班尼特,21.30
刻晴,万叶,46.20,班尼特,42.10,雷电将军,42.00,钟离,40.40,香菱,17.70
迪卢克,行秋,78.80,班尼特,58.40,钟离,39.10,万叶,26.50,雷电将军,11.90
托马,行秋,79.10,胡桃,72.90,砂糖,37.30,万叶,24.50,班尼特,16.60
芭芭拉,神里绫华,81.30,迪奥娜,46.20,万叶,30.70,温迪,28.70,甘雨,22.00
诺艾尔,钟离,66.70,行秋,43.30,胡桃,32.80,雷电将军,22.70,阿贝多,20.10
旅行者,钟离,86.50,行秋,27.00,胡桃,23.10,优菈,21.80,魈,12.80
重云,行秋,54.00,钟离,41.40,胡桃,35.20,班尼特,30.80,香菱,23.90
七七,雷电将军,33.40,神里绫华,27.60,甘雨,24.70,钟离,24.20,行秋,23.40
凯亚,行秋,47.90,胡桃,35.80,钟离,34.70,班尼特,24.40,万叶,22.60
烟绯,行秋,73.50,钟离,35.00,胡桃,32.80,班尼特,32.10,砂糖,22.80
早柚,雷电将军,52.20,行秋,29.20,九条,25.60,香菱,21.20,班尼特，15.90
丽莎,优菈,73.40,钟离,44.50,雷电将军,42.10,迪奥娜,27.70,班尼特,21.60
安柏,胡桃,62.90,行秋,59.50,钟离,58.00,万叶,19.30,班尼特,16.10
雷泽,钟离,74.40,罗莎莉亚,44.60,行秋,40.40,阿贝多,23.40,迪奥娜,17.00
辛焱,雷电将军,61.20,班尼特,58.00,优菈,45.10,罗莎莉亚,16.10,行秋,16.10
埃洛伊,神里绫华,40.00,万叶,40.00,钟离,40.00,班尼特,35.00,香菱,20.00
