character,syw1,percentage1,syw2,percentage2,syw3,percentage3,syw4,percentage4
班尼特,四宗室,90.50,四教官,1.30,四少女,1.30,二宗室,1.20
雷电将军,四绝缘,96.10,二绝缘,1.00,二角斗二绝缘,0.30,四千岩,0.20
行秋,二水套二宗室,44.40,四绝缘,12.10,二水套二角斗,9.50,四宗室,6.80
枫原万叶,四风套,97.00,二风套,0.80,二风套二角斗,0.50,二风套二乐团,0.40
钟离,四千岩,47.90,二千岩二宗室,12.10,二宗室二磐岩,9.40,四宗室,4.90
神里凝华,四冰套,78.80,二冰套二角斗,8.30,二宗室二冰套,3.10,二冰套,1.60
香菱,四绝缘,55.10,四魔女,12.90,二魔女二宗室,7.30,二魔女二乐团,3.30
胡桃,四魔女,63.10,四追忆,20.30,二魔女二乐团,9.70,二魔女二乐团,1.70
甘雨,四乐团,57.50,四冰套,33.80,二角斗二冰套,2.10,四追忆,1.00
温迪,四风套,93.50,二风套,2.50,二风套二角斗,1.10,二风套二宗室,0.70
心海,四千岩,36.20,二少女二千岩,16.90,二少女二千岩,11.80,四少女,10.70
莫娜,四宗室,29.00,四绝缘,16.40,二水套二宗室,9.30,四千岩,6.90
阿贝多,二磐岩,23.90,四千岩,17.20,二磐岩二宗室,9.60,二角斗二磐岩,7.50
迪奥娜,二千岩二少女,30.40,四少女,28.40,四宗室,16.50,二少女,4.80
达达利亚,二水套二角斗,34.20,四水套,23.10,二追忆二水套,11.00,二水套二宗室,6.60
优菈,四苍白,56.30,二苍白二骑士,27.30,二角斗二苍白,5.30二骑士二角斗,3.00
魈,二风套二角斗,72.30,二追忆二角斗,10.70,二角斗二追忆,5.80,二风套,3.10
宵宫,四追忆,87.20,二追忆,2.90,二魔女二追忆,2.10,四魔女,2.00
九条裟罗,四绝缘,64.60,四宗室,12.60,二绝缘,4.40,二绝缘二宗室,2.10
砂糖,四风套,83.00,四教官,5.20,二风套,3.50,二乐团,1.30
琴,四风套,32.60,二风套二角斗,24.50,二角斗二少女,4.70,四宗室,4.30
罗莎莉亚,四宗室，39.90,四冰套,5.70,四绝缘,4.90,二宗室二冰套,4.50
菲谢尔,二角斗二如雷,30.10,四千岩,17.20,四如雷,6.20,二追忆二如雷，5.80
凝光,二角斗二磐岩,38.20,四教官,12.30,二追忆二角斗,6.40,二角斗,6.20
可莉,四魔女,55.20，二角斗二魔女,9.40,四渡火,6.70,四乐团,6.20
北斗,四绝缘,43.70,二角斗二如雷,8.80,二宗室二如雷,6.80,四如雷,6.80
刻晴,二角斗二如雷,32.10,四平雷,18.10,二追忆二如雷,8.80,二宗室二如雷,8.40
迪卢克,四魔女,82.50,二魔女,7.70,二角斗二魔女,1.80,二魔女二乐团,1.70
托马,二绝缘二千岩,49.70,四宗室,14.30,四绝缘,6.70,二绝缘,4.60
芭芭拉,四少女,55.70,二少女12.40,二少女二千岩,5.40,四乐团,2.10
诺艾尔,四角斗,60.20,四逆飞,25.50,二角斗,2.70,二逆飞,1.70
旅行者,二角斗二千岩,12.00,四绝缘,10.20,二绝缘,8.90,四宗室,7.50
重云,二宗室二冰套,17.70,四冰套,10.70,二冰,10.20,四宗室,7.40
七七,四少女,44.10,二角斗二 少女,15.20,四千岩,8.10,二少女,8.00
凯亚,四冰套,29.30,四绝缘,12.40,二冰套,7.90,二宗室二冰套,6.80
烟绯,四乐团,43.80,四魔女,18.60,二乐团,4.70,二绝缘二千岩,3.60
早柚,四风套,70.20,四少女,4.70,二风套,3.90,二角斗二绝缘,1.90
丽莎,四宗室,35.10,四如雷,5.50,二宗室,4.60,二如雷,3.00
安柏,四教官,22.50,四乐团,21.60,四宗室,13.10,四魔女,3.70
雷泽,四角斗,35.40,四苍白,20.30,二苍白二染血,12.30,二角斗二苍白,6.10
辛焱,四千岩,25.80,二苍白二染血,15.20,四角斗,5.80,二染血二宗室,3.50
埃洛伊,二角斗二冰,15.00,四冰套11.30,二冰,7.50,四绝缘,3.70
